ScaleVector2D,142.4372,159.2496,2097152
ScaleVector3D,139.6965,156.1855,4194304
MultiplyVector2D,154.1222,172.3139,2097152
MultiplyVector3D,154.6661,172.922,2097152
TranslateVector2D,154.6854,172.9435,2097152
TranslateVector3D,154.1717,172.3692,2097152
SubtractVector2D,152.577,170.5863,2097152
SubtractVector3D,154.9846,173.278,2097152
LengthVector2D,96.01346,107.3463,4194304
LengthVector3D,97.76416,109.3037,4194304
DotProductVector2D,74.45563,83.24393,4194304
DotProductVector3D,80.99513,90.55531,4194304
